,ID,Match link
0,S0001 - 000,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1465/match=65171/events/index.html
1,S0001 - 001,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1465/match=65175/events/index.html
2,S0001 - 002,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1465/match=65167/events/index.html
3,S0001 - 003,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1465/match=65169/events/index.html
4,S0001 - 004,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1465/match=65173/events/index.html
5,S0001 - 005,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1465/match=65165/events/index.html
6,S0001 - 006,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1465/match=65163/events/index.html
7,S0001 - 007,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1465/match=65159/events/index.html
8,S0001 - 008,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1465/match=65177/events/index.html
9,S0001 - 009,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1465/match=65161/events/index.html
10,S0001 - 010,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65562/events/index.html
11,S0001 - 011,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65564/events/index.html
12,S0001 - 012,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65554/events/index.html
13,S0001 - 013,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65546/events/index.html
14,S0001 - 014,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65550/events/index.html
15,S0001 - 015,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65558/events/index.html
16,S0001 - 016,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65560/events/index.html
17,S0001 - 017,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65556/events/index.html
18,S0001 - 018,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65506/events/index.html
19,S0001 - 019,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65510/events/index.html
20,S0001 - 020,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65512/events/index.html
21,S0001 - 021,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65508/events/index.html
22,S0001 - 022,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65552/events/index.html
23,S0001 - 023,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65548/events/index.html
24,S0001 - 024,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65547/events/index.html
25,S0001 - 025,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65553/events/index.html
26,S0001 - 026,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65557/events/index.html
27,S0001 - 027,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65565/events/index.html
28,S0001 - 028,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65559/events/index.html
29,S0001 - 029,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65509/events/index.html
30,S0001 - 030,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65511/events/index.html
31,S0001 - 031,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65561/events/index.html
32,S0001 - 032,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65555/events/index.html
33,S0001 - 033,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65507/events/index.html
34,S0001 - 034,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65563/events/index.html
35,S0001 - 035,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65551/events/index.html
36,S0001 - 036,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65513/events/index.html
37,S0001 - 037,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1471/match=65549/events/index.html
38,S0001 - 038,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1472/match=65610/events/index.html
39,S0001 - 039,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1472/match=65602/events/index.html
40,S0001 - 040,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1472/match=65604/events/index.html
41,S0001 - 041,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1472/match=65620/events/index.html
42,S0001 - 042,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1472/match=65608/events/index.html
43,S0001 - 043,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1472/match=65625/events/index.html
44,S0001 - 044,http://www.uefa.com/uefachampionsleague/history/season=2000/matches/round=1472/match=65573/events/index.html
