,ID,Match link
0,S9293 - 000,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=46/match=6199/events/index.html
1,S9293 - 001,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=46/match=6197/events/index.html
2,S9293 - 002,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=46/match=6201/events/index.html
3,S9293 - 003,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=46/match=6195/events/index.html
4,S9293 - 004,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6582/events/index.html
5,S9293 - 005,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6247/events/index.html
6,S9293 - 006,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6578/events/index.html
7,S9293 - 007,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6243/events/index.html
8,S9293 - 008,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6259/events/index.html
9,S9293 - 009,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6261/events/index.html
10,S9293 - 010,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6249/events/index.html
11,S9293 - 011,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6255/events/index.html
12,S9293 - 012,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6580/events/index.html
13,S9293 - 013,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6735/events/index.html
14,S9293 - 014,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6239/events/index.html
15,S9293 - 015,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6245/events/index.html
16,S9293 - 016,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6263/events/index.html
17,S9293 - 017,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6576/events/index.html
18,S9293 - 018,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6253/events/index.html
19,S9293 - 019,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6241/events/index.html
20,S9293 - 020,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6244/events/index.html
21,S9293 - 021,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6579/events/index.html
22,S9293 - 022,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6240/events/index.html
23,S9293 - 023,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6260/events/index.html
24,S9293 - 024,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6246/events/index.html
25,S9293 - 025,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6248/events/index.html
26,S9293 - 026,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6581/events/index.html
27,S9293 - 027,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6264/events/index.html
28,S9293 - 028,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6256/events/index.html
29,S9293 - 029,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6250/events/index.html
30,S9293 - 030,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6242/events/index.html
31,S9293 - 031,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6577/events/index.html
32,S9293 - 032,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6583/events/index.html
33,S9293 - 033,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6262/events/index.html
34,S9293 - 034,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6737/events/index.html
35,S9293 - 035,http://www.uefa.com/uefachampionsleague/history/season=1992/matches/round=47/match=6254/events/index.html
