,ID,Match link
0,S9798 - 000,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54164/events/index.html
1,S9798 - 001,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54150/events/index.html
2,S9798 - 002,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54144/events/index.html
3,S9798 - 003,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54160/events/index.html
4,S9798 - 004,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54170/events/index.html
5,S9798 - 005,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54154/events/index.html
6,S9798 - 006,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54166/events/index.html
7,S9798 - 007,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54158/events/index.html
8,S9798 - 008,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54156/events/index.html
9,S9798 - 009,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54146/events/index.html
10,S9798 - 010,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54148/events/index.html
11,S9798 - 011,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54162/events/index.html
12,S9798 - 012,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54168/events/index.html
13,S9798 - 013,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54176/events/index.html
14,S9798 - 014,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=747/match=54152/events/index.html
15,S9798 - 015,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54235/events/index.html
16,S9798 - 016,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54239/events/index.html
17,S9798 - 017,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54217/events/index.html
18,S9798 - 018,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54219/events/index.html
19,S9798 - 019,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54231/events/index.html
20,S9798 - 020,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54237/events/index.html
21,S9798 - 021,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54211/events/index.html
22,S9798 - 022,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54213/events/index.html
23,S9798 - 023,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54227/events/index.html
24,S9798 - 024,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54223/events/index.html
25,S9798 - 025,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54215/events/index.html
26,S9798 - 026,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54229/events/index.html
27,S9798 - 027,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54233/events/index.html
28,S9798 - 028,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54225/events/index.html
29,S9798 - 029,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54221/events/index.html
30,S9798 - 030,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54209/events/index.html
31,S9798 - 031,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54216/events/index.html
32,S9798 - 032,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54240/events/index.html
33,S9798 - 033,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54230/events/index.html
34,S9798 - 034,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54224/events/index.html
35,S9798 - 035,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54214/events/index.html
36,S9798 - 036,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54222/events/index.html
37,S9798 - 037,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54228/events/index.html
38,S9798 - 038,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54226/events/index.html
39,S9798 - 039,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54218/events/index.html
40,S9798 - 040,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54210/events/index.html
41,S9798 - 041,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54212/events/index.html
42,S9798 - 042,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54238/events/index.html
43,S9798 - 043,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54232/events/index.html
44,S9798 - 044,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54220/events/index.html
45,S9798 - 045,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54234/events/index.html
46,S9798 - 046,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=890/match=54236/events/index.html
47,S9798 - 047,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=1141/match=54391/events/index.html
48,S9798 - 048,http://www.uefa.com/uefachampionsleague/history/season=1997/matches/round=1141/match=54390/events/index.html
