,ID,Match link
0,S0405 - 000,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79018/events/index.html
1,S0405 - 001,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79012/events/index.html
2,S0405 - 002,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79020/events/index.html
3,S0405 - 003,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79021/events/index.html
4,S0405 - 004,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79013/events/index.html
5,S0405 - 005,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79015/events/index.html
6,S0405 - 006,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79019/events/index.html
7,S0405 - 007,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79023/events/index.html
8,S0405 - 008,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79112/events/index.html
9,S0405 - 009,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79007/events/index.html
10,S0405 - 010,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79017/events/index.html
11,S0405 - 011,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79009/events/index.html
12,S0405 - 012,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79005/events/index.html
13,S0405 - 013,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79248/events/index.html
14,S0405 - 014,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79232/events/index.html
15,S0405 - 015,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79222/events/index.html
16,S0405 - 016,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79236/events/index.html
17,S0405 - 017,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79242/events/index.html
18,S0405 - 018,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79230/events/index.html
19,S0405 - 019,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79018/events/index.html
20,S0405 - 020,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79012/events/index.html
21,S0405 - 021,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79020/events/index.html
22,S0405 - 022,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79016/events/index.html
23,S0405 - 023,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79022/events/index.html
24,S0405 - 024,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79006/events/index.html
25,S0405 - 025,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79008/events/index.html
26,S0405 - 026,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79014/events/index.html
27,S0405 - 027,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79111/events/index.html
28,S0405 - 028,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79004/events/index.html
29,S0405 - 029,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79021/events/index.html
30,S0405 - 030,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79023/events/index.html
31,S0405 - 031,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79112/events/index.html
32,S0405 - 032,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79019/events/index.html
33,S0405 - 033,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79013/events/index.html
34,S0405 - 034,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79015/events/index.html
35,S0405 - 035,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79017/events/index.html
36,S0405 - 036,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79007/events/index.html
37,S0405 - 037,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79009/events/index.html
38,S0405 - 038,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1965/match=79005/events/index.html
39,S0405 - 039,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79248/events/index.html
40,S0405 - 040,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79232/events/index.html
41,S0405 - 041,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79236/events/index.html
42,S0405 - 042,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79242/events/index.html
43,S0405 - 043,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79222/events/index.html
44,S0405 - 044,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79230/events/index.html
45,S0405 - 045,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79224/events/index.html
46,S0405 - 046,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79238/events/index.html
47,S0405 - 047,http://www.uefa.com/uefachampionsleague/history/season=2004/matches/round=1966/match=79234/events/index.html
