,ID,Match link
0,S9596 - 000,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=65/match=51842/events/index.html
1,S9596 - 001,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=65/match=51840/events/index.html
2,S9596 - 002,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=65/match=51844/events/index.html
3,S9596 - 003,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=65/match=51846/events/index.html
4,S9596 - 004,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=65/match=51848/events/index.html
5,S9596 - 005,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=65/match=51838/events/index.html
6,S9596 - 006,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=65/match=51834/events/index.html
7,S9596 - 007,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=65/match=51836/events/index.html
8,S9596 - 008,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52108/events/index.html
9,S9596 - 009,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52120/events/index.html
10,S9596 - 010,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52121/events/index.html
11,S9596 - 011,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52132/events/index.html
12,S9596 - 012,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52133/events/index.html
13,S9596 - 013,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52144/events/index.html
14,S9596 - 014,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52145/events/index.html
15,S9596 - 015,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52109/events/index.html
16,S9596 - 016,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52110/events/index.html
17,S9596 - 017,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52111/events/index.html
18,S9596 - 018,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52122/events/index.html
19,S9596 - 019,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52123/events/index.html
20,S9596 - 020,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52135/events/index.html
21,S9596 - 021,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52134/events/index.html
22,S9596 - 022,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52146/events/index.html
23,S9596 - 023,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52147/events/index.html
24,S9596 - 024,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52113/events/index.html
25,S9596 - 025,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52112/events/index.html
26,S9596 - 026,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52124/events/index.html
27,S9596 - 027,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52125/events/index.html
28,S9596 - 028,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52136/events/index.html
29,S9596 - 029,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52137/events/index.html
30,S9596 - 030,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52148/events/index.html
31,S9596 - 031,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52149/events/index.html
32,S9596 - 032,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52114/events/index.html
33,S9596 - 033,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52115/events/index.html
34,S9596 - 034,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52126/events/index.html
35,S9596 - 035,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52127/events/index.html
36,S9596 - 036,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52139/events/index.html
37,S9596 - 037,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52138/events/index.html
38,S9596 - 038,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52150/events/index.html
39,S9596 - 039,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52151/events/index.html
40,S9596 - 040,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52114/events/index.html
41,S9596 - 041,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52115/events/index.html
42,S9596 - 042,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52126/events/index.html
43,S9596 - 043,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52127/events/index.html
44,S9596 - 044,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52139/events/index.html
45,S9596 - 045,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52138/events/index.html
46,S9596 - 046,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52150/events/index.html
47,S9596 - 047,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52151/events/index.html
48,S9596 - 048,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52116/events/index.html
49,S9596 - 049,http://www.uefa.com/uefachampionsleague/history/season=1995/matches/round=70/match=52117/events/index.html
