,ID,Match link
0,S1617 - 000,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000779/match=2019605/events/index.html
1,S1617 - 001,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000779/match=2019607/events/index.html
2,S1617 - 002,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000779/match=2019611/events/index.html
3,S1617 - 003,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000779/match=2019606/events/index.html
4,S1617 - 004,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020156/events/index.html
5,S1617 - 005,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020158/events/index.html
6,S1617 - 006,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020150/events/index.html
7,S1617 - 007,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020151/events/index.html
8,S1617 - 008,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020161/events/index.html
9,S1617 - 009,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020162/events/index.html
10,S1617 - 010,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020165/events/index.html
11,S1617 - 011,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020155/events/index.html
12,S1617 - 012,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020153/events/index.html
13,S1617 - 013,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020154/events/index.html
14,S1617 - 014,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020159/events/index.html
15,S1617 - 015,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020163/events/index.html
16,S1617 - 016,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020157/events/index.html
17,S1617 - 017,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020160/events/index.html
18,S1617 - 018,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020166/events/index.html
19,S1617 - 019,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020152/events/index.html
20,S1617 - 020,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020164/events/index.html
21,S1617 - 021,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020175/events/index.html
22,S1617 - 022,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020170/events/index.html
23,S1617 - 023,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020172/events/index.html
24,S1617 - 024,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020178/events/index.html
25,S1617 - 025,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020168/events/index.html
26,S1617 - 026,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020183/events/index.html
27,S1617 - 027,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020179/events/index.html
28,S1617 - 028,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020173/events/index.html
29,S1617 - 029,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020174/events/index.html
30,S1617 - 030,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020176/events/index.html
31,S1617 - 031,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020167/events/index.html
32,S1617 - 032,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020180/events/index.html
33,S1617 - 033,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020177/events/index.html
34,S1617 - 034,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020169/events/index.html
35,S1617 - 035,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020171/events/index.html
36,S1617 - 036,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020182/events/index.html
37,S1617 - 037,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000780/match=2020181/events/index.html
38,S1617 - 038,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000781/match=2020344/events/index.html
39,S1617 - 039,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000781/match=2020345/events/index.html
40,S1617 - 040,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000781/match=2020348/events/index.html
41,S1617 - 041,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000781/match=2020342/events/index.html
42,S1617 - 042,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000781/match=2020346/events/index.html
43,S1617 - 043,http://www.uefa.com/uefachampionsleague/history/season=2017/matches/round=2000781/match=2020350/events/index.html
