,ID,Match link
0,S0203 - 000,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1633/match=69700/events/index.html
1,S0203 - 001,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1633/match=69692/events/index.html
2,S0203 - 002,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1633/match=69684/events/index.html
3,S0203 - 003,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1633/match=69686/events/index.html
4,S0203 - 004,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1633/match=69702/events/index.html
5,S0203 - 005,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1633/match=69698/events/index.html
6,S0203 - 006,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1633/match=69690/events/index.html
7,S0203 - 007,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1633/match=69696/events/index.html
8,S0203 - 008,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1633/match=69688/events/index.html
9,S0203 - 009,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1633/match=69694/events/index.html
10,S0203 - 010,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1634/match=69942/events/index.html
11,S0203 - 011,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1634/match=69924/events/index.html
12,S0203 - 012,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1634/match=69926/events/index.html
13,S0203 - 013,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1634/match=69922/events/index.html
14,S0203 - 014,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1634/match=69936/events/index.html
15,S0203 - 015,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1634/match=69938/events/index.html
16,S0203 - 016,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1634/match=69940/events/index.html
17,S0203 - 017,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1634/match=69944/events/index.html
18,S0203 - 018,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1634/match=69920/events/index.html
19,S0203 - 019,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1634/match=69932/events/index.html
20,S0203 - 020,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1634/match=69928/events/index.html
21,S0203 - 021,http://www.uefa.com/uefachampionsleague/history/season=2002/matches/round=1634/match=69930/events/index.html
