,ID,Match link
0,S0304 - 000,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71275/events/index.html
1,S0304 - 001,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71287/events/index.html
2,S0304 - 002,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71269/events/index.html
3,S0304 - 003,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71283/events/index.html
4,S0304 - 004,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71271/events/index.html
5,S0304 - 005,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71285/events/index.html
6,S0304 - 006,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71273/events/index.html
7,S0304 - 007,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71277/events/index.html
8,S0304 - 008,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71279/events/index.html
9,S0304 - 009,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71282/events/index.html
10,S0304 - 010,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71275/events/index.html
11,S0304 - 011,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71287/events/index.html
12,S0304 - 012,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71269/events/index.html
13,S0304 - 013,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71283/events/index.html
14,S0304 - 014,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71285/events/index.html
15,S0304 - 015,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71271/events/index.html
16,S0304 - 016,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71273/events/index.html
17,S0304 - 017,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71277/events/index.html
18,S0304 - 018,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71279/events/index.html
19,S0304 - 019,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71282/events/index.html
20,S0304 - 020,http://www.uefa.com/uefachampionsleague/history/season=2003/matches/round=1709/match=71286/events/index.html
