,ID,Match link
0,S9899 - 000,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55415/events/index.html
1,S9899 - 001,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55413/events/index.html
2,S9899 - 002,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55403/events/index.html
3,S9899 - 003,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55419/events/index.html
4,S9899 - 004,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55425/events/index.html
5,S9899 - 005,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55427/events/index.html
6,S9899 - 006,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55521/events/index.html
7,S9899 - 007,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55405/events/index.html
8,S9899 - 008,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55411/events/index.html
9,S9899 - 009,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55423/events/index.html
10,S9899 - 010,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55421/events/index.html
11,S9899 - 011,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55409/events/index.html
12,S9899 - 012,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55417/events/index.html
13,S9899 - 013,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55407/events/index.html
14,S9899 - 014,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55429/events/index.html
15,S9899 - 015,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1209/match=55401/events/index.html
16,S9899 - 016,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55601/events/index.html
17,S9899 - 017,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55603/events/index.html
18,S9899 - 018,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55585/events/index.html
19,S9899 - 019,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55591/events/index.html
20,S9899 - 020,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55593/events/index.html
21,S9899 - 021,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55609/events/index.html
22,S9899 - 022,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55583/events/index.html
23,S9899 - 023,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55589/events/index.html
24,S9899 - 024,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55579/events/index.html
25,S9899 - 025,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55597/events/index.html
26,S9899 - 026,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55605/events/index.html
27,S9899 - 027,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55607/events/index.html
28,S9899 - 028,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55581/events/index.html
29,S9899 - 029,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55587/events/index.html
30,S9899 - 030,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55595/events/index.html
31,S9899 - 031,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55599/events/index.html
32,S9899 - 032,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55584/events/index.html
33,S9899 - 033,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55600/events/index.html
34,S9899 - 034,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55604/events/index.html
35,S9899 - 035,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55610/events/index.html
36,S9899 - 036,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55586/events/index.html
37,S9899 - 037,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55590/events/index.html
38,S9899 - 038,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55596/events/index.html
39,S9899 - 039,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55598/events/index.html
40,S9899 - 040,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55594/events/index.html
41,S9899 - 041,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55592/events/index.html
42,S9899 - 042,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55580/events/index.html
43,S9899 - 043,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55588/events/index.html
44,S9899 - 044,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55606/events/index.html
45,S9899 - 045,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55608/events/index.html
46,S9899 - 046,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55602/events/index.html
47,S9899 - 047,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1210/match=55582/events/index.html
48,S9899 - 048,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55712/events/index.html
49,S9899 - 049,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55713/events/index.html
50,S9899 - 050,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55714/events/index.html
51,S9899 - 051,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55715/events/index.html
52,S9899 - 052,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55716/events/index.html
53,S9899 - 053,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55717/events/index.html
54,S9899 - 054,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55718/events/index.html
55,S9899 - 055,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55719/events/index.html
56,S9899 - 056,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55720/events/index.html
57,S9899 - 057,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55721/events/index.html
58,S9899 - 058,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55722/events/index.html
59,S9899 - 059,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55723/events/index.html
60,S9899 - 060,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55724/events/index.html
61,S9899 - 061,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55725/events/index.html
62,S9899 - 062,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55726/events/index.html
63,S9899 - 063,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55727/events/index.html
64,S9899 - 064,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55728/events/index.html
65,S9899 - 065,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55729/events/index.html
66,S9899 - 066,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55730/events/index.html
67,S9899 - 067,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55731/events/index.html
68,S9899 - 068,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55732/events/index.html
69,S9899 - 069,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55733/events/index.html
70,S9899 - 070,http://www.uefa.com/uefachampionsleague/history/season=1998/matches/round=1211/match=55734/events/index.html
