,ID,Match link
0,S9394 - 000,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=52/match=50238/events/index.html
1,S9394 - 001,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=52/match=50232/events/index.html
2,S9394 - 002,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=52/match=50234/events/index.html
3,S9394 - 003,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=52/match=50236/events/index.html
4,S9394 - 004,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=52/match=50250/events/index.html
5,S9394 - 005,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=52/match=50240/events/index.html
6,S9394 - 006,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=52/match=50242/events/index.html
7,S9394 - 007,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=52/match=50248/events/index.html
8,S9394 - 008,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=52/match=50244/events/index.html
9,S9394 - 009,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=52/match=50246/events/index.html
10,S9394 - 010,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50252/events/index.html
11,S9394 - 011,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50270/events/index.html
12,S9394 - 012,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50280/events/index.html
13,S9394 - 013,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50258/events/index.html
14,S9394 - 014,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50266/events/index.html
15,S9394 - 015,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50276/events/index.html
16,S9394 - 016,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50274/events/index.html
17,S9394 - 017,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50262/events/index.html
18,S9394 - 018,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50272/events/index.html
19,S9394 - 019,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50260/events/index.html
20,S9394 - 020,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50254/events/index.html
21,S9394 - 021,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50282/events/index.html
22,S9394 - 022,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50264/events/index.html
23,S9394 - 023,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50278/events/index.html
24,S9394 - 024,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50256/events/index.html
25,S9394 - 025,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50268/events/index.html
26,S9394 - 026,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50275/events/index.html
27,S9394 - 027,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50253/events/index.html
28,S9394 - 028,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50279/events/index.html
29,S9394 - 029,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50255/events/index.html
30,S9394 - 030,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50267/events/index.html
31,S9394 - 031,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50257/events/index.html
32,S9394 - 032,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50281/events/index.html
33,S9394 - 033,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50265/events/index.html
34,S9394 - 034,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50277/events/index.html
35,S9394 - 035,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50269/events/index.html
36,S9394 - 036,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50271/events/index.html
37,S9394 - 037,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50273/events/index.html
38,S9394 - 038,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50263/events/index.html
39,S9394 - 039,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50283/events/index.html
40,S9394 - 040,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50259/events/index.html
41,S9394 - 041,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=53/match=50261/events/index.html
42,S9394 - 042,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50379/events/index.html
43,S9394 - 043,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50383/events/index.html
44,S9394 - 044,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50375/events/index.html
45,S9394 - 045,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50377/events/index.html
46,S9394 - 046,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50373/events/index.html
47,S9394 - 047,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50385/events/index.html
48,S9394 - 048,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50381/events/index.html
49,S9394 - 049,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50371/events/index.html
50,S9394 - 050,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50384/events/index.html
51,S9394 - 051,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50374/events/index.html
52,S9394 - 052,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50376/events/index.html
53,S9394 - 053,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50382/events/index.html
54,S9394 - 054,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50386/events/index.html
55,S9394 - 055,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50372/events/index.html
56,S9394 - 056,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50380/events/index.html
57,S9394 - 057,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=54/match=50378/events/index.html
58,S9394 - 058,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=58/match=50435/events/index.html
59,S9394 - 059,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=58/match=50448/events/index.html
60,S9394 - 060,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=58/match=50436/events/index.html
61,S9394 - 061,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=58/match=50437/events/index.html
62,S9394 - 062,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=58/match=50439/events/index.html
63,S9394 - 063,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=58/match=50450/events/index.html
64,S9394 - 064,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=58/match=50449/events/index.html
65,S9394 - 065,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=58/match=50438/events/index.html
66,S9394 - 066,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=58/match=50451/events/index.html
67,S9394 - 067,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=58/match=50452/events/index.html
68,S9394 - 068,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=58/match=50440/events/index.html
69,S9394 - 069,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=58/match=50441/events/index.html
70,S9394 - 070,http://www.uefa.com/uefachampionsleague/history/season=1993/matches/round=58/match=50453/events/index.html
